dauid,Population,Total_DU,Mobile Home,Mobile_CO2e,Single Detached,Single_CO2e,Double,Double_CO2e,Row,Row_CO2e,Duplex,Duplex_CO2e,Low-Rise,Low-Rise_CO2e,High-Rise,High-rise_CO2e,Total CO2e,Average CO2e
6106,20805,7665,550,1075.33602,3475,7417.78782,205,422.105988,905,1410.40449,305,639.534492,1935,2449.045908,290,356.08404,13770.29876,1.796516472
61060085,192,75,0,0,50,106.73076,10,20.590536,10,15.58458,0,0,5,6.328284,0,0,149.23416,1.9897888
61060088,614,195,0,0,150,320.19228,0,0,45,70.13061,0,0,0,0,0,0,390.32289,2.001655846
61060092,804,270,5,9.775782,80,170.769216,0,0,150,233.7687,35,73.389204,0,0,0,0,487.702902,1.806307044
61060093,446,140,0,0,65,138.749988,10,20.590536,65,101.29977,0,0,0,0,0,0,260.640294,1.861716386
61060094,366,105,0,0,105,224.134596,0,0,0,0,0,0,0,0,0,0,224.134596,2.1346152
61060095,333,100,0,0,95,202.788444,0,0,0,0,5,10.484172,0,0,0,0,213.272616,2.13272616
61060096,560,160,0,0,160,341.538432,0,0,0,0,0,0,0,0,0,0,341.538432,2.1346152
61060100,647,195,0,0,25,53.36538,0,0,120,187.01496,0,0,50,63.28284,0,0,303.66318,1.557247077
61060104,329,125,0,0,30,64.038456,5,10.295268,0,0,15,31.452516,75,94.92426,0,0,200.7105,1.605684
61060133,257,95,0,0,70,149.423064,5,10.295268,10,15.58458,0,0,10,12.656568,0,0,187.95948,1.978520842
61060135,238,105,0,0,105,224.134596,0,0,0,0,0,0,0,0,0,0,224.134596,2.1346152
61060138,794,280,50,97.75782,95,202.788444,0,0,10,15.58458,5,10.484172,120,151.878816,0,0,478.493832,1.708906543
61060139,636,215,0,0,185,394.903812,0,0,0,0,0,0,30,37.969704,0,0,432.873516,2.013365191
61060140,189,55,0,0,45,96.057684,5,10.295268,0,0,5,10.484172,0,0,0,0,116.837124,2.124311345
61060141,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61060142,342,115,0,0,115,245.480748,0,0,0,0,0,0,0,0,0,0,245.480748,2.1346152
61060143,714,245,0,0,245,522.980724,0,0,0,0,0,0,0,0,0,0,522.980724,2.1346152
61060144,434,180,0,0,0,0,0,0,45,70.13061,0,0,135,170.863668,0,0,240.994278,1.3388571
61060145,435,125,0,0,110,234.807672,0,0,0,0,0,0,15,18.984852,0,0,253.792524,2.030340192
61060146,425,135,25,48.87891,35,74.711532,0,0,70,109.09206,5,10.484172,0,0,0,0,243.166674,1.801234622
61060147,1097,355,150,293.27346,170,362.884584,25,51.47634,0,0,10,20.968344,0,0,0,0,728.602728,2.052402051
61060148,450,170,170,332.376588,0,0,0,0,0,0,0,0,0,0,0,0,332.376588,1.9551564
61060149,317,130,70,136.860948,30,64.038456,0,0,15,23.37687,15,31.452516,0,0,0,0,255.72879,1.967144538
61060150,613,200,0,0,200,426.92304,0,0,0,0,0,0,0,0,0,0,426.92304,2.1346152
61060151,1421,500,0,0,80,170.769216,10,20.590536,130,202.59954,30,62.905032,250,316.4142,0,0,773.278524,1.546557048
61060152,681,325,0,0,115,245.480748,5,10.295268,5,7.79229,15,31.452516,185,234.146508,0,0,529.16733,1.628207169
61060153,342,105,0,0,100,213.46152,0,0,0,0,5,10.484172,0,0,0,0,223.945692,2.132816114
61060154,667,240,45,87.982038,125,266.8269,0,0,50,77.9229,0,0,20,25.313136,0,0,458.044974,1.908520725
61060155,994,470,0,0,50,106.73076,5,10.295268,80,124.67664,0,0,335,423.995028,0,0,665.697696,1.416378077
61060156,600,315,0,0,10,21.346152,10,20.590536,0,0,0,0,200,253.13136,95,116.64822,411.716268,1.307035771
61060157,403,210,0,0,25,53.36538,15,30.885804,0,0,0,0,70,88.595976,100,122.7876,295.63476,1.407784571
61060158,945,350,0,0,170,362.884584,5,10.295268,0,0,80,167.746752,95,120.237396,0,0,661.164,1.88904
61060159,865,330,15,29.327346,115,245.480748,10,20.590536,30,46.75374,40,83.873376,120,151.878816,0,0,577.904562,1.751225945
61060160,674,305,0,0,115,245.480748,5,10.295268,15,23.37687,20,41.936688,55,69.611124,95,116.64822,507.348918,1.663439075
61060161,65,25,0,0,15,32.019228,0,0,0,0,0,0,10,12.656568,0,0,44.675796,1.78703184
61060162,485,185,20,39.103128,130,277.499976,20,41.181072,5,7.79229,5,10.484172,5,6.328284,0,0,382.388922,2.066967146
61060163,1089,435,0,0,160,341.538432,60,123.543216,50,77.9229,15,31.452516,150,189.84852,0,0,764.305584,1.757024331
61060164,307,100,0,0,100,213.46152,0,0,0,0,0,0,0,0,0,0,213.46152,2.1346152
