YEAR,CANADA
2023,14600643.188503
2022,1458275.4191143
2021,3918425.65934059
2020,215820.894911715
2019,1604243.5037958
2018,1863380.44012861
2017,3048196.60950598
2016,1213682.52402647
2015,3351101.97211004
2014,3855121.39125339
2013,4143415.6536607
2012,1638446.79281927
2011,1930700.42520175
2010,2872096.01358561
2009,770935.689932084
2008,1395679.66868745
2007,1549713.93264715
2006,1880027.15626354
2005,1627060.79139531
2004,2847796.89207993
2003,1794352.55734299
2002,2694747.00600324
2001,561834.739780321
2000,617689.190980162
1999,1640200.02008617
1998,4159032.35960636
1997,734956.256756088
1996,1764731.896691
1995,5888403.43875899
1994,5042101.76758367
1993,1962375.89220479
1992,861653.616209478
1991,1533155.98766452
1990,858872.158558255
1989,6663734.32013414
1988,1216450.53319682
1987,885032.346035677
1986,819883.073980525
1985,710670.288873456
1984,825463.687559927
1983,1735114.34166262
1982,1598845.3484765
1981,4804470.85441363
1980,4944599.81713202
1979,2422712.61265337
1978,211261.020302335
1977,1116404.65147971
1976,1939763.16330011
1975,797249.367069909
1974,818242.8004719
1973,1694612.49822684
1972,564359.202670627
